date,category,amount,merchant,payment_method
2024-10-14,Entertainment,2660.06,Spotify,Net Banking
2024-10-02,Shopping,3610.65,Myntra,Credit Card
2024-03-17,Health,392.8,Apollo Pharmacy,
2024-04-26,BILLS,2895.57,BWSSB Water,Net Banking
2024-10-24,health,1103.95,Medplus,Cash
2024-06-25,SHOPPING,164.79,Flipkart,UPI
2024-07-02,Transport,3814.55,Metro Card,
2024-11-13,Bills,4791.67,Jio,Credit Card
2024-01-01,  Transport ,376.38,Rapido,Cash
2024-03-28,Shopping,778.38,Croma,UPI
2024-10-14,Entertainment,2660.06,Spotify,Net Banking
2024-06-24,Health,1175.33,PracticeFit Gym,Cash
2024-07-16,Rent,13500.72,Landlord - Sharma,Debit Card
2024-09-07,Food,3377.97,Big Bazaar,UPI
2024-05-14,FOOD,2330.12,Local Cafe,Net Banking
2024-01-25,Groceries,4558.03,more supermarket  ,Credit Card
2024-02-09,Entertainment,4215.31,Spotify,Cash
2024-02-14,Bills,1762.57,BWSSB Water,UPI
2024-01-12,shopping,4706.27,Amazon,UPI
2024-07-17,TRANSPORT,2041.82,Ola,Credit Card
2024-01-06,Rent,10319.5,NOBROKER,Credit Card
2024-07-02,Bills,2686.59,jio  ,Net Banking
2024-01-18,Groceries,,BigBasket,Credit Card
2024-07-14,Bills,3764.53,Electricity Board,upi
2024-09-19,Bills,2391.63,bwssb water  ,Cash
2024-12-29,groceries,-405.0,DMart,Credit Card
2024-01-20,Transport,4608.92,Rapido,Cash
2024-10-25,Shopping,4117.37,Reliance Trends,Debit Card
2024-04-27,Entertainment,-3312.83,NETFLIX,Debit Card
2024-10-13,Rent,14903.56,NOBROKER,UPI
2024-06-10,Health,4000.5,PracticeFit Gym,
2024-08-02,Health,-2323.84,practicefit gym  ,Net Banking
